Response	Predictor	Species	median	lower95	upper95	significant
disper_unweighted_unifrac	Anbo_10	Anbo	-0.0282859862081794	-0.0766371501811722	0.0178497636203108	FALSE
disper_unweighted_unifrac	Anbo_2	Anbo	0.0513064214403456	0.00378294468563543	0.102183195902818	TRUE
disper_unweighted_unifrac	Anbo_3	Anbo	-0.015357026738001	-0.0654747269684086	0.0299249331049169	FALSE
disper_unweighted_unifrac	Anbo_4	Anbo	0.0280598467798543	-0.0168326025312059	0.0778999503659667	FALSE
disper_unweighted_unifrac	Anbo_5	Anbo	-0.00299683418979831	-0.0490486321499857	0.0428265729356806	FALSE
disper_unweighted_unifrac	Anbo_6	Anbo	0.0309655617039374	-0.0166313187261211	0.0774826311783319	FALSE
disper_unweighted_unifrac	Anbo_7	Anbo	-0.0199612263272279	-0.0686291557447344	0.0300019896428927	FALSE
disper_unweighted_unifrac	Anbo_8	Anbo	-0.0214185522947803	-0.067594403536938	0.0251180372714094	FALSE
disper_unweighted_unifrac	Anbo_9	Anbo	0.0024606734780106	-0.0448687859339178	0.0477190943039851	FALSE
disper_unweighted_unifrac	Osse_1	Osse	-0.0160932625192258	-0.0647138488988921	0.0335507829079356	FALSE
disper_unweighted_unifrac	Osse_10	Osse	0.000143256680578924	-0.0491811797494058	0.0469851563275198	FALSE
disper_unweighted_unifrac	Osse_2	Osse	0.0163355739495163	-0.0298102384706926	0.0663194509700379	FALSE
disper_unweighted_unifrac	Osse_3	Osse	-0.0227813704091961	-0.0738717390840301	0.0227771255841068	FALSE
disper_unweighted_unifrac	Osse_4	Osse	-0.0137185513812194	-0.0619066277166964	0.0295611985702208	FALSE
disper_unweighted_unifrac	Osse_5	Osse	-0.0205528512098122	-0.0667115884419806	0.0263226714006513	FALSE
disper_unweighted_unifrac	Osse_6	Osse	-0.0211282397083573	-0.0677417185621617	0.0284864412381509	FALSE
disper_unweighted_unifrac	Osse_7	Osse	0.0413526811396719	-0.0060371899913967	0.0940546690825766	FALSE
disper_unweighted_unifrac	Osse_8	Osse	0.00776018518505173	-0.0411727939415142	0.0583317750332914	FALSE
disper_unweighted_unifrac	Osse_9	Osse	0.0258748734026752	-0.0194030207829844	0.0818958738038047	FALSE
disper_unweighted_unifrac	Raca_1	Raca	0.0386814327617894	-0.00899921478601052	0.092774517040401	FALSE
disper_unweighted_unifrac	Raca_10	Raca	0.00795534451638632	-0.0414208423779688	0.0578239984914819	FALSE
disper_unweighted_unifrac	Raca_2	Raca	-0.000480442100130946	-0.0456258282740029	0.0504798275453502	FALSE
disper_unweighted_unifrac	Raca_3	Raca	-0.0173920376691415	-0.0642400998923343	0.0303048621233041	FALSE
disper_unweighted_unifrac	Raca_4	Raca	-0.00302589211938261	-0.0501855768325207	0.0417505318339953	FALSE
disper_unweighted_unifrac	Raca_5	Raca	0.00061823435749578	-0.0480220967276844	0.0474683242622097	FALSE
disper_unweighted_unifrac	Raca_6	Raca	-0.0350168204846891	-0.0843825848186938	0.0124856720510212	FALSE
disper_unweighted_unifrac	Raca_7	Raca	0.000680755666802756	-0.0547183198411016	0.0576997820726636	FALSE
