indivID	exp_inhibRich	p_inhibRich	exp_percInhib	p_percInhib	exp_dist_weighted_unifrac	p_dist_weighted_unifrac	exp_dist_unweighted_unifrac	p_dist_unweighted_unifrac	exp_dist_braycurtis	p_dist_braycurtis	exp_disper_weighted_unifrac	p_disper_weighted_unifrac	exp_disper_unweighted_unifrac	p_disper_unweighted_unifrac	exp_disper_braycurtis	p_disper_braycurtis	exp_faith_pd	p_faith_pd	exp_shannon	p_shannon	exp_chao1	p_chao1	exp_observed_otus	p_observed_otus	infect
Rapi_3	11.2	0.35925	0.341202859567402	0.21025	0.307232437747387	0.68975	0.572247927147057	0.59025	0.584482259779509	0.76375	-0.33119718560877	0.122	-0.421829569430781	0.25275	0.109381433615116	0.15125	12.0629573104993	0.6075	3.59379295682463	0.665	4.44932495269021	0.685	4.33153374728693	0.66	0
Anbo_5	10.6	0.344	0.507556487429143	0.4295	0.218973743418255	0.54	0.460566276627389	0.39775	0.450925993916573	0.599	-0.489810166856923	0.62225	-0.320085468693574	0.53275	-0.07865030352348	0.6505	12.6854948117945	0.68725	3.65996106370699	0.523	4.62935354431391	0.643	4.48478744955326	0.708	3.66666666666667
Anbo_2	8.6	0.1595	0.432265437403534	0.2985	0.455026592178755	0.98	0.535535389405169	0.65525	0.689319000373853	0.9505	-0.192113457015301	0.8655	-0.190859281188072	0.759	0.325341014185848	0.977	9.68826923487248	0.38625	3.5380569100769	0.445	4.29428709509531	0.26725	4.14657302010613	0.30125	7.66666666666667
Osse_2	16.3333333333333	0.526	0.459210798527903	0.223	0.48839407370888	0.9705	0.633456387018578	0.51375	0.810003277993414	0.9485	-0.166512336080451	0.79	-0.410248469659659	0.51075	0.104128571803484	0.6025	7.9248226971156	0.36525	2.72295766788814	0.1525	4.27830006604964	0.28825	4.17464015479585	0.29425	0
Anbo_1	9.33333333333333	0.248	0.566298205767794	0.545	0.178987690495193	0.39325	0.484034056196501	0.4775	0.411202304300702	0.505	-0.444913937507951	0.6675	-0.300896833003593	0.57425	-0.298263838307992	0.3075	11.8989772581425	0.623	3.63631130625564	0.50575	4.55494170850514	0.5615	4.37648293265053	0.57925	3.33333333333333
Osse_3	16.6666666666667	0.526	0.823587679427943	0.86725	0.285023106589322	0.6405	0.641949442389328	0.54675	0.637846849274638	0.69025	-0.600490747391526	0.3695	-0.467157597353187	0.3965	0.051517004782531	0.51325	8.81616646591949	0.45775	2.75883494384408	0.1675	4.47152428201899	0.4915	4.35418136888047	0.51375	0
Raca_6	10.6	0.7225	0.162947204600719	0.623	0.26339953857768	0.2565	0.583902911908149	0.381	0.491741040178918	0.19025	-0.145907884161618	0.58175	-0.417726796779815	0.236	0.11701497241861	0.69225	17.9181258518731	0.5415	4.24149308145991	0.77675	5.09767275378597	0.74	4.77792608642369	0.62075	0
Anbo_3	8.75	0.1595	0.192785354154441	0.0365	0.43140672779098	0.96975	0.504395940444296	0.55075	0.631970255731938	0.90925	0.0697118660328969	0.96475	-0.351531643166342	0.46675	0.236930863606108	0.9465	10.03656305407	0.41925	3.71679396142261	0.55975	4.22548757837062	0.211	4.1463438869193	0.301	7
Osse_4	14.75	0.34075	0.73615666624414	0.72475	0.317175210051692	0.7275	0.615771510404118	0.45325	0.592668825602685	0.5905	-0.22446150720308	0.743	-0.299348653315442	0.72675	0.139843797382775	0.663	7.19741608326869	0.2945	2.84710574910515	0.19975	4.19168970830334	0.2065	4.00384479543873	0.14175	1.33333333333333
Rhma_9	10.75	0.42125	0.10244880059776	0.39625	0.304032348580326	0.698	0.454081977991348	0.4985	0.594064611969725	0.79625	-0.260602241262158	0.62025	-0.28729085102873	0.57725	0.130721912719838	0.64475	20.9934333763946	0.78325	4.428496906928	0.658	5.22191029616902	0.6725	5.03720984631863	0.6945	3.33333333333333
Anbo_6	11.8	0.463	0.50118581298421	0.417	0.148847107267129	0.27625	0.458765129920647	0.391	0.350382927836286	0.3525	-0.320852275604338	0.7785	-0.314114262356582	0.54475	-0.110703114004348	0.605	9.86503193816782	0.40375	3.33253762188322	0.32825	4.38672304406888	0.36375	4.11074400557641	0.26125	3.66666666666667
Osse_5	13.25	0.2555	0.749616448255735	0.7475	0.200311770522276	0.345	0.714829225853704	0.7885	0.475785236911624	0.317	-0.52360070372406	0.453	-0.340665801045263	0.6505	0.0855420356676369	0.571	8.70789890634416	0.445	2.60409430662293	0.115	4.3318901928625	0.34025	4.17979575045439	0.29975	2.33333333333333
