	observed_otus
1788.mck271Post.1Buma.6	111
1788.mck419Post.4Raca.2	112
1788.mck714Post.9Rapi.6	108
1788.mck509Post.5Bubo.6	52
1788.mck306Post.1Osse.8	82
1788.mck568Post.6Osse.2	145
1788.mck600Post.7Buma.11	203
1788.mck458Post.4Bubo.8	57
1788.mck341Post.2Rapi.12	66
1788.mck448Post.4Rapi.10	47
1788.mck800Post.10Osse.7	90
1788.mck801Post.10Osse.8	80
1788.mck307Post.1Osse.9	64
1788.mck569Post.6Osse.3	142
1788.mck516Post.5Osse.3	84
1788.mck459Post.4Bubo.9	64
1788.mck73Pre.2Rapi.9	117
1788.mck356Post.2Osse.5	131
1788.mck718Post.9Rapi.10	88
1788.mck155Pre.4Raca.6	173
1788.mck480Post.5Raca.10	75
1788.mck351Post.2Bubo.10	85
1788.mck52Pre.2Raca.9	99
1788.mck440Post.4Rapi.2	51
1788.mck729Post.9Bubo.10	72
1788.mck511Post.5Bubo.8	63
1788.mck135Pre.3Bubo.6	57
1788.mck32Pre.1Rapi.11	79
1788.mck738Post.9Osse.9	129
1788.mck259Post.1Raca.4	101
1788.mck436Post.4Buma.9	135
1788.mck538Post.6Buma.5	163
1788.mck441Post.4Rapi.3	86
1788.mck527Post.6Raca.4	169
1788.mck164Pre.4Buma.5	133
1788.mck762Post.10Raca.10	159
1788.mck192Pre.4Bubo.10	83
1788.mck361Post.2Osse.10	117
1788.mck595Post.7Buma.6	148
1788.mck226Pre.5Rapi.3	74
1788.mck100Pre.3Raca.4	63
1788.mck510Post.5Bubo.7	57
1788.mck683Post.8Osse.6	102
1788.mck172Pre.4Rapi.2	70
1788.mck698Post.9Buma.1	137
1788.mck247Pre.4Osse.2	88
1788.mck344Post.2Bubo.3	70
1788.mck631Post.7Osse.9	96
1788.mck675Post.8Bubo.8	54
1788.mck651Post.8Buma.6	146
1788.mck566Post.6Bubo.10	70
1788.mck748Post.10Bubo.5	83
1788.mck352Post.2Osse.1	92
1788.mck91Pre.1Osse.5	64
1788.mck719Post.9Rapi.11	147
1788.mck532Post.6Raca.9	129
1788.mck630Post.7Osse.8	102
