	faith_pd
1788.mck345Post.2Bubo.4	12.429325151010001
1788.mck464Post.4Osse.4	12.677660780981997
1788.mck720Post.9Rapi.12	31.77643824574
1788.mck505Post.5Bubo.2	8.93124297836
1788.mck291Post.1Bubo.3	10.37537805756
1788.mck130Pre.3Bubo.1	9.19473845831
1788.mck209Pre.5Raca.7	20.047928211055996
1788.mck179Pre.4Rapi.9	12.861466544479999
1788.mck150Pre.4Raca.1	28.008079842660006
1788.mck467Post.4Osse.7	15.716579230819997
1788.mck112Pre.3Buma.6	17.436702240559995
1788.mck290Post.1Bubo.2	12.02139863813
1788.mck29Pre.1Rapi.8	11.22430931595
1788.mck646Post.8Buma.1	19.848355523179997
1788.mck680Post.8Osse.3	17.823247965729998
1788.mck4Pre.1Raca.4	23.87320949822
1788.mck133Pre.3Bubo.4	8.67162307188
1788.mck655Post.8Buma.10	18.625758613820008
1788.mck19Pre.1Buma.9	20.305367085780006
1788.mck161Pre.4Buma.2	20.252999583189997
1788.mck153Pre.4Raca.4	20.71876501383001
1788.mck347Post.2Bubo.6	7.7936054624
1788.mck376Post.3Buma.5	22.89075035389
1788.mck461Post.4Osse.1	15.627016952249996
1788.mck383Post.3Rapi.1	21.786775543600005
1788.mck618Post.7Bubo.6	8.99352473882
1788.mck432Post.4Buma.5	18.629051163409997
1788.mck278Post.1Rapi.2	10.24767981025
1788.mck517Post.5Osse.4	16.083124171762
1788.mck502Post.5Rapi.11	16.501591526191998
1788.mck107Pre.3Buma.1	19.563069633740007
1788.mck524Post.6Raca.1	7.69060344679
1788.mck38Pre.1Bubo.5	21.692842092336
1788.mck109Pre.3Buma.3	23.211039881349997
1788.mck85Pre.2Bubo.9	10.0728856916
1788.mck619Post.7Bubo.7	12.50844197109
1788.mck55Pre.2Buma.2	17.03269088871
1788.mck279Post.1Rapi.3	12.68232684767
1788.mck10Pre.1Raca.10	11.34994366603
1788.mck58Pre.2Buma.5	18.872696472869993
1788.mck35Pre.1Bubo.2	13.87512565246
1788.mck674Post.8Bubo.6	8.54205265751
1788.mck68Pre.2Rapi.4	9.58226127509
1788.mck404Post.3Bubo.10	7.071188969044999
