SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck137Pre.3Bubo.8	0	0	0	0	0	Anbo	8	Pre	Control	Anbo_8	3	0	95	141.5	3.48524430059975	15.29178802029	0.3701	0.55912561965463	0.24253290892751	0.351550260418052	0.436889065098992	0.178190349091603	10	0.5275	0.451310842016227	0.308506367108105	0.0039960071725322	-0.0328738512668423	0.377440998035695	-0.179642297161824	28.2435767413032	22.4601025692088	18.6125584250713	None
1788.mck632Post.7Osse.10	0	0	0	0	0	Osse	10	Post	Control	Osse_10	12	0	85	85.8571428571429	4.74528729830334	12.68881325127	0.3124	0.464160811492174	0.155128558236174	0.514705023158117	0.443313667417734	0.24178591559111	8	0.2425	0.0536548038364718	0.122645001925454	0.146468043929558	0.573372105149055	-0.499766233352358	-0.152018443873296	28.2435767413032	22.4601025692088	18.6125584250713	15
1788.mck648Post.8Buma.3	0	0	0	0	0	Rhma	3	Post	Control	Rhma_3	13	0	142	167.090909090909	5.17752117335599	20.23715922372	0.4214	0.3515699681641	0.199962199891593	0.47489288057048	0.327726363377936	0.213862581961653	10	0.2745	-0.146358758297786	-0.530046547184861	0.0550924367950962	-0.0914564525936062	0.0295198646113619	0.0441056606196224	28.2435767413032	22.4601025692088	18.6125584250713	90
1788.mck690Post.9Raca.3	1.59784373945952	1.12243668723728	1.66666666666667	0.74535599249993	1	Raca	3	Post	Bd-exposed	Raca_3	14	0	178	227.214285714286	3.88315074106725	27.374517328872	0.3948	0.49080682364808	0.190997785264764	0.29554478040091	0.365484769030201	0.158098656093889	16	0.5668	-0.206543030484031	-0.565580952418657	0.18650650225263	0.000739941120541237	0.500065552106377	0.18410227565678	28.2435767413032	22.4601025692088	18.6125584250713	88
1788.mck695Post.9Raca.8	0	0	0	0	0	Raca	8	Post	Control	Raca_8	14	0	94	106	3.17376931543549	15.26791740656	0.571	0.504700362731635	0.410819740998703	0.403900766140508	0.400815834074319	0.283862791638196	16	0.2208	-0.444284378195136	-0.058395597296756	-0.0925069246017929	-0.154712333773183	0.0473540039147331	0.381579648810984	28.2435767413032	22.4601025692088	18.6125584250713	95
1788.mck92Pre.1Osse.6	0	0	0	0	0	Osse	6	Pre	Bd-exposed	Osse_6	2	0	57	70.75	3.90034330551359	6.76162218552	NA	NA	NA	0.283673618574232	0.425826842480658	0.0727309666050013	17	0.5141	0.438477018867243	0.963237287875569	0.103106805535401	-0.272935289625353	-0.341815781515721	-0.133007788646286	28.2435767413032	22.4601025692088	18.6125584250713	14
1788.mck563Post.6Bubo.7	0	0	0	0	0	Anbo	7	Post	Control	Anbo_7	11	0	66	96	3.39678226089535	12.25018751641	0.2939	0.548546012745733	0.186786372385156	0.328525236169154	0.348374538239007	0.115523869523908	8	0.604	0.277788535536633	0.204314361543177	0.0141959709769957	0.0991262487326591	-0.0502041238019998	-0.109100222455901	28.2435767413032	22.4601025692088	18.6125584250713	None
1788.mck94Pre.1Osse.8	0	0	0	0	0	Osse	8	Pre	Control	Osse_8	2	0	71	92.4285714285714	3.58406803450974	12.24978917949	NA	NA	NA	0.346681796644993	0.417877846643524	0.172709301622946	17	0.4117	0.604505657366818	0.556569699601074	-0.0210680781498478	-0.184324965771643	0.879924077178721	-0.27045019969487	28.2435767413032	22.4601025692088	18.6125584250713	20
1788.mck56Pre.2Buma.3	0	0	0	0	0	Rhma	3	Pre	Control	Rhma_3	2	0	141	170	4.78055966774276	17.18584087628	0.5404	0.437699282941019	0.237044929271725	0.387924015095228	0.351400492327736	0.173818916005228	10	0.0939	-0.383255890892525	-0.292818985378484	-0.16776720582446	-0.302724623163554	0.184188593547412	0.0298590430763076	28.2435767413032	22.4601025692088	18.6125584250713	90
1788.mck482Post.5Buma.2	0	0	0	0	0	Rhma	2	Post	Bd-exposed	Rhma_2	10	0	118	151.214285714286	3.31592652460526	16.34685091702	0.1822	0.294413213882483	0.0850040635542656	0.531999248508136	0.359026739068828	0.278533997145276	8	0.4984	-0.44884218516768	-0.521303265660933	0.13308494771278	0.0340687011492035	-0.316557494703645	0.0697685563228617	28.2435767413032	22.4601025692088	18.6125584250713	65
