SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck396Post.3Bubo.2	5.41554491678091	1.60953673357612	5.33333333333333	1.33333333333333	1	Anbo	2	Post	Bd-exposed	Anbo_2	8	0	63	76	3.02231638040111	9.96425486023	0.5176	0.362355577446719	0.354238740900526	0.7309414614044	0.368211306565187	0.332464019723322	6	0.4653	-0.408606890246797	0.122979722462184	0.0749409247449654	-0.299289927729694	-0.077537963912784	-0.154257030965817	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck385Post.3Rapi.3	0	0	0	0	0	Rapi	3	Post	Bd-exposed	Rapi_3	8	0	52	59.8571428571429	1.66432493978028	10.104799257762	0.2618	0.606008250375963	0.113646172326732	0.530928940160545	0.374612069324631	0.230681173086622	7	0.1745	-0.423311994017755	0.127574760691899	-0.223038662781513	0.646159042111141	-0.163758907259289	0.08518410025517	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck441Post.4Rapi.3	0	0	0	0	0	Rapi	3	Post	Bd-exposed	Rapi_3	9	0	86	95.75	3.30024587283242	13.504697423312	0.5992	0.478301123497856	0.275384440831446	0.303011948448866	0.404132186335339	0.180731972799171	13	0.369	-0.323916018829982	0.0411219772934889	0.0149826198887306	0.314744902685078	-0.1196082561862	-0.0234322931571148	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck800Post.10Osse.7	0	0	0	0	0	Osse	7	Post	Control	Osse_7	16	0	90	92.625	4.87484619808189	13.05198164165	NA	NA	NA	0.603405914415015	0.469472911222036	0.29095176299991	14	0.61	0.129096103015755	0.0292729368922467	-0.18243546194303	0.555692789892871	0.282483460106547	0.315308694091892	28.098783726779	22.8164934510084	18.491209331149	12
1788.mck711Post.9Rapi.3	0	0	0	0	0	Rapi	3	Post	Bd-exposed	Rapi_3	14	0	101	109.142857142857	3.25020908968606	17.24459227224	NA	NA	NA	0.348163556179926	0.374566673886692	0.182761102713927	10	0.2279	-0.339411582514199	-0.100042953363495	-0.217410454933122	0.263663705679766	-0.0355394101570208	0.0484559883918596	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck351Post.2Bubo.10	0	0	0	0	0	Anbo	10	Post	Control	Anbo_10	7	0	85	90.625	4.07166190991237	14.72203459887	0.4318	0.411246121668719	0.220307377425309	0.326071209247305	0.349933693845412	0.141316098472255	12	0.5573	0.246920573922664	0.0295910362276071	0.141123400394188	-0.0497586264803547	0.0334972950068569	0.0738775173124392	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck597Post.7Buma.8	0	0	0	0	0	Rhma	8	Post	Bd-exposed	Rhma_8	12	0	129	164.2	4.67477562992873	18.06421764702	0.5383	0.405757433243155	0.312251268565363	0.543448106580062	0.372912293614034	0.213083450984169	12	0.1225	-0.498458332348736	-0.202129392660715	0.0302826207582246	0.127296721948313	-0.128191198628682	-0.106382224612175	28.098783726779	22.8164934510084	18.491209331149	110
1788.mck404Post.3Bubo.10	0	0	0	0	0	Anbo	10	Post	Control	Anbo_10	8	0	41	41.75	2.86766342092964	7.071188969045	0.4852	0.626859306498912	0.359480015336217	0.419764931572158	0.424042802698376	0.300039245682071	5	0.3976	0.641071953870308	0.370232632926932	-0.112201572225539	-0.249926004755672	-0.150643538359433	0.344464157543828	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck227Pre.5Rapi.4	0	0	0	0	0	Rapi	4	Pre	Control	Rapi_4	5	0	62	66	2.74776368589281	9.62315518768	0.2083	0.499227223247073	0.109777178876594	0.452371180626848	0.450303647658483	0.390178661947101	10	0.6102	-0.273763375232991	0.299048035375389	0.458397286157538	0.385512684311956	-0.0971237935085992	-0.0635038183346339	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck197Pre.3Osse.5	0	0	0	0	0	Osse	5	Pre	Bd-exposed	Osse_5	4	0	71	80.1	2.25659625991397	12.681982848444	0.1922	0.701339070604447	0.12090784277935	0.54542776117122	0.514307414611827	0.235841620332433	6	0.7499	0.286952484903851	0.299669603643131	-0.116133109579516	0.668588695284876	0.405994973133789	0.224680667693995	28.098783726779	22.8164934510084	18.491209331149	19
