Response	Predictor	Species	median	lower95	upper95	significant
disper_unweighted_unifrac	Osse_2	Osse	-5.10152533089167e-06	-0.0420670524554404	0.0387497707539901	FALSE
disper_unweighted_unifrac	Osse_3	Osse	-0.000389675051074846	-0.0420015268293357	0.0370260445879144	FALSE
disper_unweighted_unifrac	Osse_4	Osse	0.00116043688916198	-0.0336853154063058	0.0489123596573818	FALSE
disper_unweighted_unifrac	Osse_5	Osse	0.000513804490512821	-0.0357430786881476	0.0447381622826643	FALSE
disper_unweighted_unifrac	Osse_6	Osse	0.000225059784448233	-0.0384847241447834	0.0419581144547176	FALSE
disper_unweighted_unifrac	Osse_7	Osse	0.000957139488772387	-0.0320778044405866	0.0429332853238952	FALSE
disper_unweighted_unifrac	Osse_8	Osse	0.000282017545989185	-0.037383223726803	0.0384982487147493	FALSE
disper_unweighted_unifrac	Osse_9	Osse	-0.000469783615225855	-0.0395783982103106	0.0354232089701072	FALSE
disper_unweighted_unifrac	Raca_1	Raca	0.000353114406772129	-0.0385954120987515	0.0415926749867312	FALSE
disper_unweighted_unifrac	Raca_10	Raca	-0.000942901133236783	-0.044130796215456	0.0299350106317813	FALSE
disper_unweighted_unifrac	Raca_2	Raca	-8.29316445503194e-05	-0.0394384930016452	0.036739613974881	FALSE
disper_unweighted_unifrac	Raca_3	Raca	-0.000129229104126692	-0.0396931289784997	0.0371120808324307	FALSE
disper_unweighted_unifrac	Raca_4	Raca	0.00101678365835155	-0.0317198632870041	0.0483682195583074	FALSE
disper_unweighted_unifrac	Raca_5	Raca	-0.00039206883449579	-0.0410292328383692	0.0379925371888104	FALSE
disper_unweighted_unifrac	Raca_6	Raca	-0.00160356146367333	-0.0538426246713212	0.0273588770016902	FALSE
disper_unweighted_unifrac	Raca_7	Raca	1.3251062121441e-05	-0.0366099529546591	0.0387746756646188	FALSE
disper_unweighted_unifrac	Raca_8	Raca	0.0023195574051226	-0.0274456441513716	0.0533915089885122	FALSE
disper_unweighted_unifrac	Raca_9	Raca	-0.000288592829729041	-0.0423169402725991	0.0360822885290153	FALSE
disper_unweighted_unifrac	Rapi_3	Rapi	-0.00097803834228889	-0.0466193252581438	0.0333489996165868	FALSE
