	chao1
1788.mck566Post.6Bubo.10	71.875
1788.mck748Post.10Bubo.5	92.1
1788.mck352Post.2Osse.1	111.71428571428572
1788.mck91Pre.1Osse.5	77.2
1788.mck719Post.9Rapi.11	150.92857142857142
1788.mck532Post.6Raca.9	148.0
1788.mck630Post.7Osse.8	130.11111111111111
1788.mck681Post.8Osse.4	90.66666666666667
1788.mck7Pre.1Raca.7	81.75
1788.mck489Post.5Buma.9	231.66666666666669
1788.mck696Post.9Raca.9	156.43478260869566
1788.mck261Post.1Raca.6	120.875
1788.mck763Post.10Buma.1	144.4
1788.mck410Post.3Osse.6	131.31578947368422
1788.mck449Post.4Rapi.11	77.14285714285714
1788.mck444Post.4Rapi.6	96.15384615384616
1788.mck783Post.10Rapi.10	154.0
1788.mck488Post.5Buma.8	129.55555555555554
1788.mck591Post.7Buma.2	170.75
1788.mck121Pre.3Rapi.4	50.0
1788.mck111Pre.3Buma.5	189.0
1788.mck445Post.4Rapi.7	139.66666666666666
1788.mck411Post.3Osse.7	92.5
1788.mck354Post.2Osse.3	83.625
1788.mck47Pre.2Raca.4	93.85714285714286
1788.mck136Pre.3Bubo.7	78.0
1788.mck606Post.7Rapi.6	186.04347826086956
1788.mck746Post.10Bubo.3	118.5
1788.mck621Post.7Bubo.9	157.1
1788.mck119Pre.3Rapi.2	72.5
1788.mck431Post.4Buma.4	173.21428571428572
1788.mck156Pre.4Raca.7	220.9
1788.mck51Pre.2Raca.8	219.57692307692307
1788.mck633Post.7Control.Mold1	149.14285714285714
1788.mck44Pre.2Raca.1	155.1875
1788.mck607Post.7Rapi.7	132.66666666666666
1788.mck657Post.8Rapi.1	77.58333333333333
1788.mck2Pre.1Raca.2	125.25
1788.mck80Pre.2Bubo.4	96.0
1788.mck576Post.6Osse.10	115.75
1788.mck638Post.8Raca.3	154.0625
1788.mck373Post.3Buma.2	136.46153846153845
1788.mck49Pre.2Raca.6	152.0625
1788.mck342Post.2Bubo.1	102.1
1788.mck775Post.10Rapi.2	145.25
1788.mck525Post.6Raca.2	139.33333333333334
1788.mck400Post.3Bubo.6	103.0
1788.mck557Post.6Bubo.1	67.0
1788.mck604Post.7Rapi.4	77.375
1788.mck27Pre.1Rapi.6	106.0909090909091
1788.mck443Post.4Rapi.5	96.66666666666667
1788.mck65Pre.2Rapi.1	132.0909090909091
1788.mck433Post.4Buma.6	143.6
1788.mck556Post.6Rapi.12	76.11111111111111
1788.mck115Pre.3Buma.11	268.12
1788.mck17Pre.1Buma.7	127.6
1788.mck390Post.3Rapi.8	115.625
1788.mck177Pre.4Rapi.7	114.66666666666667
1788.mck401Post.3Bubo.7	73.0
1788.mck605Post.7Rapi.5	88.33333333333333
1788.mck369Post.3Raca.8	123.5
1788.mck611Post.7Rapi.11	133.0
1788.mck750Post.10Bubo.8	101.875
1788.mck442Post.4Rapi.4	90.11111111111111
1788.mck24Pre.1Rapi.3	78.2
1788.mck795Post.10Osse.2	204.0
1788.mck751Post.10Bubo.9	58.0
1788.mck503Post.5Rapi.12	124.5
1788.mck140Pre.2Osse.1	80.0
1788.mck752Post.10Bubo.10	87.11111111111111
1788.mck297Post.1Bubo.9	95.5
1788.mck70Pre.2Rapi.6	101.0
1788.mck610Post.7Rapi.10	96.71428571428571
1788.mck405Post.3Osse.1	167.06666666666666
1788.mck506Post.5Bubo.3	27.0
1788.mck654Post.8Buma.9	157.9375
1788.mck122Pre.3Rapi.5	138.2
1788.mck204Pre.5Raca.2	90.5
1788.mck201Pre.3Osse.9	163.14285714285714
1788.mck220Pre.5Buma.8	173.78947368421052
1788.mck377Post.3Buma.6	125.75
1788.mck346Post.2Bubo.5	46.0
1788.mck143Pre.2Osse.4	110.0
1788.mck309Post.2Raca.1	200.1764705882353
1788.mck603Post.7Rapi.3	83.875
1788.mck368Post.3Raca.7	75.0
1788.mck686Post.8Osse.9	51.0
1788.mck296Post.1Bubo.8	81.6
1788.mck647Post.8Buma.2	142.07142857142858
1788.mck398Post.3Bubo.4	87.25
1788.mck691Post.9Raca.4	176.12
1788.mck182Pre.4Rapi.12	121.6
1788.mck338Post.2Rapi.9	110.33333333333333
1788.mck728Post.9Bubo.9	92.75
1788.mck128Pre.3Rapi.11	120.33333333333333
1788.mck187Pre.4Bubo.5	77.92857142857143
1788.mck740Post.9Control.Cricket	321.1290322580645
1788.mck228Pre.5Rapi.5	88.5
1788.mck513Post.5Bubo.10	75.0
1788.mck593Post.7Buma.4	158.08333333333334
1788.mck739Post.9Osse.10	122.11111111111111
1788.mck202Pre.3Osse.10	77.75
1788.mck225Pre.5Rapi.2	73.33333333333333
1788.mck407Post.3Osse.3	85.3
1788.mck215Pre.5Buma.3	125.9090909090909
1788.mck708Post.9Buma.11	110.66666666666667
1788.mck249Pre.4Osse.4	53.75
1788.mck191Pre.4Bubo.9	93.11111111111111
1788.mck375Post.3Buma.4	111.75
1788.mck504Post.5Bubo.1	79.375
1788.mck148Pre.2Osse.9	115.0909090909091
1788.mck264Post.1Raca.9	151.5
1788.mck406Post.3Osse.2	144.0
1788.mck523Post.5Osse.10	92.8
1788.mck180Pre.4Rapi.10	77.11111111111111
1788.mck601Post.7Rapi.1	175.54545454545456
1788.mck268Post.1Buma.3	144.64705882352942
1788.mck189Pre.4Bubo.7	124.6
1788.mck160Pre.4Buma.1	178.27272727272728
1788.mck320Post.2Buma.2	122.16666666666667
1788.mck632Post.7Osse.10	85.85714285714286
1788.mck63Pre.2Buma.10	167.375
1788.mck334Post.2Rapi.5	77.2
1788.mck71Pre.2Rapi.7	77.5
1788.mck370Post.3Raca.9	102.71428571428572
1788.mck546Post.6Rapi.2	113.42857142857143
1788.mck437Post.4Buma.10	117.0909090909091
1788.mck637Post.8Raca.2	150.71428571428572
1788.mck634Post.7Conrol.Mold2	104.3
1788.mck163Pre.4Buma.4	141.0
1788.mck131Pre.3Bubo.2	72.5
1788.mck321Post.2Buma.3	144.07142857142858
1788.mck329Post.2Buma.11	185.5
1788.mck421Post.4Raca.4	304.0909090909091
1788.mck547Post.6Rapi.3	126.06666666666666
1788.mck256Post.1Raca.1	124.875
1788.mck221Pre.5Buma.9	181.5
1788.mck151Pre.4Raca.2	120.75
1788.mck200Pre.3Osse.8	100.5
1788.mck205Pre.5Raca.3	94.0
1788.mck679Post.8Osse.2	143.07692307692307
1788.mck190Pre.4Bubo.8	75.875
1788.mck336Post.2Rapi.7	112.0
1788.mck277Post.1Rapi.1	111.0909090909091
1788.mck214Pre.5Buma.2	103.76923076923077
1788.mck786Post.11Bubo.1	120.66666666666667
1788.mck379Post.3Buma.8	146.66666666666666
1788.mck522Post.5Osse.9	80.0
1788.mck186Pre.4Bubo.4	100.0
1788.mck617Post.7Bubo.5	69.2
1788.mck188Pre.4Bubo.6	55.5
1788.mck519Post.5Osse.6	99.0
1788.mck501Post.5Rapi.10	73.25
1788.mck423Post.4Raca.6	148.25
1788.mck137Pre.3Bubo.8	141.5
1788.mck212Pre.5Raca.10	165.4
1788.mck535Post.6Buma.2	119.17647058823529
1788.mck157Pre.4Raca.8	193.2
1788.mck371Post.3Raca.10	136.08333333333334
1788.mck616Post.7Bubo.4	57.2
1788.mck50Pre.2Raca.7	58.5
1788.mck545Post.6Rapi.1	145.33333333333334
1788.mck668Post.8Rapi.12	77.8
